medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
"Spasmalgon 500 mg/2 mg/0,02 mg/ml šķīdums injekcijām",00-1068,Šķīdums injekcijām,"Metamizolum natricum, Pitofenoni hydrochloridum, Fenpiverini bromidum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Nefrocarnit 1 g/5 ml šķīdums injekcijām,00-1089,Šķīdums injekcijām,Levocarnitinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Cerebrum compositum NM šķīdums injekcijām,00-1093,Šķīdums injekcijām,"Cerebrum suis, Embryo suis, Hepar suis, Placenta suis, Kalium phosphoricum, Selenium, Thuja occidentalis, Nux vomica, Phosphoricum acidum, Cinchona pubescens, Sulfur, Kalium bichromicum, Gelsemium sempervirens, Ruta graveolens, Arnica montana, Aesculus hippocastanum, Manganum phosphoricum, Magnesium phosphoricum, Semecarpus anacardium, Conium maculatum, Hyoscyamus niger, Aconitum napellus, Anamirta cocculus, Ambra grisea",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Haloperidol-Grindeks 5 mg/ml šķīdums injekcijām,00-1198,Šķīdums injekcijām,Haloperidolum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Discus compositum šķīdums injekcijām,01-0013,Šķīdums injekcijām,"Discus intervertebralis suis, Acidum ascorbicum, Thiaminum hydrochloricum, Natrium riboflavinum phosphoricum, Pyridoxinum hydrochloricum, Nicotinamidum, Funiculus umbilicalis suis, Cartilago suis, Medulla ossis suis, Embryo suis, Glandula suprarenalis suis, Pulsatilla nigricans, Mercurius praecipitatus ruber, Sulfur, Cimicifuga racemosa, Ledum palustre, Pseudognaphalium obtusifolium, Citrullus colocynthis, Secale cornutum, Argentum metallicum, Zincum metallicum, Cuprum aceticum, Aesculus hippocastanum, Medorrhinum, nosode, Ranunculus bulbosus, Ammonium chloratum, Kalium carbonicum, Cinchona pubescens, Sepia officinalis, Acidum picrinicum, Berberis vulgaris, Acidum silicicum, Calcium phosphoricum, Acidum DL alfa-liponicum, Natrium diethyloxalaceticum, Nadidum, Coenzymum A",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Trigan-SP 10 mg/ml šķīdums injekcijām,01-0076,Šķīdums injekcijām,Dicycloverini hydrohloridum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Ūdens injekcijām-Kalceks ampulās, šķīdinātājs parenterālai lietošanai",01-0079,Šķīdinātājs parenterālai lietošanai,Aqua ad iniectabile,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Neralgo-Rhem-Injeel šķīdums injekcijām,01-0110,Šķīdums injekcijām,"Causticum Hahnemanni, Colchicum autumnale, Citrullus colocynthis, Ferrum metallicum, Lithium benzoicum, Pseudognaphalium obtusifolium, Rhus toxicodendron, Filipendula ulmaria",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Hepar compositum N šķīdums injekcijām,01-0111,Šķīdums injekcijām,"Hepar suis, Cyanocobalaminum, Duodenum suis, Thymus suis, Colon suis, Vesica fellea suis, Pankreas suis, Taraxacum officinale, Lycopodium clavatum, Chelidonium majus, Acidum oroticum monohydricum, Cinchona pubescens, Silybum marianum, Histaminum, Sulfur, Avena sativa, Natrium diethyloxalaceticum, Acidum alfa-ketoglutaricum, Acidum malicum, Acidum fumaricum, Calcium carbonicum Hahnemanni, Acidum DL alfa-liponicum, Cynara scolymus, Veratrum album",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Coenzyme compositum šķīdums injekcijām,01-0112,Šķīdums injekcijām,"Coenzymum A, Acidum ascorbicum, Thiaminum hydrochloricum, Natrium riboflavinum phosphoricum, Pyridoxinum hydrochloricum, Nicotinamidum, Acidum cis-aconiticum, Acidum citricum, Acidum fumaricum, Acidum alfa-ketoglutaricum, Acidum malicum, Succinum Acidum, Barium oxalsuccinicum, Natrium diethyloxalaceticum, Natrium pyruvicum, Cysteinum, Pulsatilla nigricans, Hepar sulfuris, Sulfur, Adenosinum triphosphoricum, Nadidum, Manganum phosphoricum, Magnesium oroticum dihydricum, Cerium oxalicum, Acidum DL alfa-liponicum, Beta vulgaris ssp.rubra",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
AmBisome liposomāls amfotericīns B 50 mg pulveris infūziju šķīduma pagatavošanai,01-0135,Pulveris infūziju šķīduma pagatavošanai,Amphotericinum B,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Tramadol Krka 100 mg/2 ml šķīdums injekcijām,01-0148,Šķīdums injekcijām,Tramadoli hydrochloridum,Nē,Jā,"S7, M2","Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Ubichinon compositum šķīdums injekcijām,01-0157,Šķīdums injekcijām,"Ubidecarenonum, Acidum ascorbicum, Thiaminum hydrochloricum, Natrium riboflavinum phosphoricum, Pyridoxinum hydrochloricum, Nicotinamidum, Colchicum autumnale, Podophyllum peltatum, Conium maculatum, Hydrastis canadensis, Acidum L-lacticum, Hydrochinonum, Acidum DL alfa-liponicum, Sulfur, Manganum phosphoricum, Natrium diethyloxalaceticum, Trichinoylum, Naphthochinonum, Para-Benzochinonum, Adenosinum triphosphoricum, Coenzymum A, Galium aparine, Acidum acetylsalicylicum, Histaminum, Nadidum, Magnesium gluconicum, Anthrachinonum, Vaccinium myrtillus",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Nimbex 2 mg/ml šķīdums injekcijām,01-0206,Šķīdums injekcijām,Cisatracurium,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Ringer Fresenius šķīdums infūzijām,01-0265,Šķīdums infūzijām,"Calcii chloridum, Kalii chloridum, Natrii chloridum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Encepur Children 0,25 ml suspensija injekcijām pilnšļircē",01-0316,Suspensija injekcijām pilnšļircē,"Virus encephalitidis acarinarum (ixodicum)/stirps K23, inactivatum, purificatum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Cutis compositum N šķīdums injekcijām,01-0362,Šķīdums injekcijām,"Cutis suis, Hepar suis, Splen suis, Placenta suis, Glandula suprarenalis suis, Funiculus umbilicalis suis, Thuja occidentalis, Galium aparine, Selenium, Thallium sulfuricum, Nux vomica, Sulfur, Cortisonum aceticum, Urtica urens, Phosphoricum acidum, Calcium fluoratum, Mercurius solubilis Hahnemanni, Aesculus hippocastanum, Ichthyolum, Ledum palustre, Arctium lappa, Acidum formicicum, Acidum alfa-ketoglutaricum, Acidum fumaricum, Natrium diethyloxalaceticum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
SolcoTrichovac liofilizāts un šķīdinātājs injekciju suspensijas pagatavošanai,01-0370,Liofilizāts un šķīdinātājs injekciju suspensijas pagatavošanai,"Lactobacillus rhamnosus, Lactobacillus vaginalis, Lactobacillus fermentum, Lactobacillus salivarius",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Drytec, radionuklīdu ģenerators",01-0399,Radionuklīdu ģenerators,"Natrii molybdas (99Mo), Natrii pertechnetas (99mTc)",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Aminoven 10% šķīdums infūzijām,01-0417,Šķīdums infūzijām,"Isoleucinum, Histidinum, Leucinum, Methioninum, Lysini acetas, Phenylalaninum, Threoninum, Tryptophanum, Valinum, Argininum, Alaninum, Glycinum, Prolinum, Serinum, Tyrosinum, Taurinum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Holoxan 500 mg pulveris infūziju šķīduma pagatavošanai,01-0468,Pulveris infūziju šķīduma pagatavošanai,Ifosfamidum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Holoxan 1 g pulveris infūziju šķīduma pagatavošanai,01-0469,Pulveris infūziju šķīduma pagatavošanai,Ifosfamidum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Havrix 1440 ELISA vienības/ml suspensija injekcijām,02-0026,Suspensija injekcijām,Viri hepatitidis A inactivatum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Mustophoran 200 mg/4 ml pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,02-0062,Pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,Fotemustinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Gadovist 1,0 mmol/ml šķīdums injekcijām",02-0070,Šķīdums injekcijām,Gadobutrolum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
